id,name,XX,type,measurement,institution,value,year
000040901,ST ANDREWS,-4.0,OZONE,PPB,Environment Canada,28.486732259940997,2020
000040901,ST ANDREWS,-4.0,PM2.5,UG/M3,Environment Canada,3.4568724989931034,2020
000041302,BATHURST,-4.0,NO2,PPB,Environment Canada,0.8469819929438049,2020
000041302,BATHURST,-4.0,OZONE,PPB,Environment Canada,27.795314891029324,2020
000041302,BATHURST,-4.0,PM2.5,UG/M3,Environment Canada,4.600401548318475,2020
000041501,EDMUNDSTON QUEEN ST.,-4.0,PM2.5,UG/M3,Environment Canada,5.488986266454526,2020
000050113,Chomedey,-5.0,OZONE,PPB,Canada-Quebec1,22.61610138682582,2020
000050113,Chomedey,-5.0,OZONE,PPB,Meteorological Service of Canada,30.49722760579792,2020
000050113,Laval - Chomedey,-5.0,OZONE,PPB,Canada-Quebec1,21.284480386501823,2020
000050119,Bourassa,-5.0,OZONE,PPB,Canada-Quebec1,22.134259259259263,2020
000050119,Bourassa,-5.0,OZONE,PPB,Meteorological Service of Canada,29.498203234058103,2020
000050119,Longueuil,-5.0,OZONE,PPB,Canada-Quebec1,22.940168925033472,2020
000050204,Gatineau - Hull,-5.0,OZONE,PPB,Canada-Quebec1,21.398821613943742,2020
000050204,Hull (Ile),-5.0,OZONE,PPB,Canada-Quebec1,22.45329682920662,2020
000050204,Hull (Ile),-5.0,OZONE,PPB,Meteorological Service of Canada,30.765662090637175,2020
000050308,Des Sables,-5.0,OZONE,PPB,Canada-Quebec1,21.20272601794341,2020
000050308,Des Sables,-5.0,OZONE,PPB,Meteorological Service of Canada,27.865838134975267,2020
000050308,Québec - Vieux-Limoi,-5.0,OZONE,PPB,Canada-Quebec1,18.097718575519934,2020
000050308,Vieux Limoilou,-5.0,OZONE,PPB,Canada-Quebec1,19.179633015379668,2020
000050311,Parc Primavere,-5.0,NO2,PPB,Canada-Quebec1,2.8278412204345993,2020
000050311,Parc Primavere,-5.0,NO2,PPB,Environment Canada,5.166415067267601,2020
000050311,Parc Primavere,-5.0,OZONE,PPB,Canada-Quebec1,17.830296352280467,2020
000050311,Parc Primavere,-5.0,OZONE,PPB,Environment Canada,28.099766096443606,2020
000050311,Parc Primavere,-5.0,PM2.5,UG/M3,Canada-Quebec1,6.9184891241735125,2020
000050311,Parc Primavere,-5.0,PM2.5,UG/M3,Environment Canada,10.686652742725403,2020
000050311,Québec - École Les P,-5.0,NO2,PPB,Canada-Quebec1,5.269126445145121,2020
000050311,Québec - École Les P,-5.0,OZONE,PPB,Canada-Quebec1,18.03421406338427,2020
000050311,Québec - École Les P,-5.0,PM2.5,UG/M3,Canada-Quebec1,9.707734775599803,2020
000050404,Parc Cambron,-5.0,OZONE,PPB,Canada-Quebec1,17.839825461748216,2020
000050404,Parc Cambron,-5.0,OZONE,PPB,Meteorological Service of Canada,31.602951034786738,2020
000050404,Sherbrooke - Parc Ca,-5.0,OZONE,PPB,Canada-Quebec1,21.62838819545414,2020
000050604,Parc Tremblay,-5.0,OZONE,PPB,Canada-Quebec1,18.301140788799955,2020
000050604,Parc Tremblay,-5.0,OZONE,PPB,Meteorological Service of Canada,29.792185179063342,2020
000050604,Rouyn-Noranda - Parc,-5.0,OZONE,PPB,Canada-Quebec1,23.257573160993118,2020
000051501,Saint-Zéphirin-de-Co,-5.0,OZONE,PPB,Canada-Quebec1,21.481841869458588,2020
000051501,Saint-Zéphirin-de-Co,-5.0,PM2.5,UG/M3,Canada-Quebec1,5.724373175077713,2020
000051501,Zéphirin,-5.0,OZONE,PPB,Canada-Quebec1,20.41416111766344,2020
000051501,Zéphirin,-5.0,OZONE,PPB,Meteorological Service of Canada,32.34706919143762,2020
000051501,Zéphirin,-5.0,PM2.5,UG/M3,Canada-Quebec1,4.655822661412483,2020
000051501,Zéphirin,-5.0,PM2.5,UG/M3,Meteorological Service of Canada,6.817551562477126,2020
000052001,Charette,-5.0,OZONE,PPB,Canada-Quebec1,17.523196192496133,2020
000052001,Charette,-5.0,OZONE,PPB,Meteorological Service of Canada,30.38480733036934,2020
000052201,Brossard,-5.0,OZONE,PPB,Canada-Quebec1,20.09722222222222,2020
000052201,Brossard,-5.0,OZONE,PPB,Meteorological Service of Canada,30.947917437433997,2020
000052201,Saint-Simon,-5.0,OZONE,PPB,Canada-Quebec1,20.62587145969499,2020
000052301,Saint-Faustin,-5.0,OZONE,PPB,Canada-Quebec1,19.282494445388902,2020
000052301,Saint-Faustin,-5.0,OZONE,PPB,Meteorological Service of Canada,33.54315867148788,2020
000052301,Saint-Faustin,-5.0,PM2.5,UG/M3,Canada-Quebec1,5.154685393955523,2020
000052301,Saint-Faustin,-5.0,PM2.5,UG/M3,Meteorological Service of Canada,5.079351112673464,2020
000052301,Saint-Faustin-Lac-Ca,-5.0,OZONE,PPB,Canada-Quebec1,25.175785508346177,2020
000052301,Saint-Faustin-Lac-Ca,-5.0,PM2.5,UG/M3,Canada-Quebec1,4.85434883627185,2020
000052401,La Pêche,-5.0,OZONE,PPB,Canada-Quebec1,13.449836289917812,2020
000052401,La Pêche,-5.0,OZONE,PPB,Meteorological Service of Canada,29.916756250995377,2020
000052401,Parc de la Gatineau ,-5.0,OZONE,PPB,Canada-Quebec1,22.43069531070334,2020
000053201,PÉMONCA,-5.0,OZONE,PPB,Canada-Quebec1,15.37055472726725,2020
000053201,PÉMONCA,-5.0,OZONE,PPB,Meteorological Service of Canada,29.8396639536704,2020
000053201,Rés. Faun. Ashuapmus,-5.0,OZONE,PPB,Canada-Quebec1,22.15492390689205,2020
000053301,Deschambault,-5.0,OZONE,PPB,Canada-Quebec1,16.790783973033516,2020
000053301,Deschambault,-5.0,OZONE,PPB,Meteorological Service of Canada,29.103953376887855,2020
000053501,François,-5.0,OZONE,PPB,Canada-Quebec1,21.503174603174603,2020
000053501,François,-5.0,OZONE,PPB,Meteorological Service of Canada,33.07400768766563,2020
000053601,N.-D.-du-Rosaire,-5.0,OZONE,PPB,Canada-Quebec1,16.110965813031893,2020
000053601,N.-D.-du-Rosaire,-5.0,OZONE,PPB,Meteorological Service of Canada,31.622788982804956,2020
000053601,Notre-Dame-du-Rosair,-5.0,OZONE,PPB,Canada-Quebec1,23.85813072204867,2020
000053701,HILAIRE,-5.0,OZONE,PPB,Canada-Quebec1,24.946727127835953,2020
000053701,HILAIRE,-5.0,OZONE,PPB,Meteorological Service of Canada,35.18565238251744,2020
000053701,Saint-Hilaire-de-Dor,-5.0,OZONE,PPB,Canada-Quebec1,28.126095084326884,2020
000053801,Tingwick,-5.0,OZONE,PPB,Canada-Quebec1,25.464190741922206,2020
000053801,Tingwick,-5.0,OZONE,PPB,Meteorological Service of Canada,34.41924761075331,2020
000053901,Lac-Édouard,-5.0,OZONE,PPB,Canada-Quebec1,19.37248109828686,2020
000053901,Édouard,-5.0,OZONE,PPB,Canada-Quebec1,13.274078126091256,2020
000053901,Édouard,-5.0,OZONE,PPB,Meteorological Service of Canada,28.25121602672321,2020
000054201,Chapais,-5.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,28.196612577934896,2020
000054401,Saint-Anicet,-5.0,OZONE,PPB,Canada-Quebec1,20.738585436157834,2020
000054703,Bécancour,-5.0,PM2.5,UG/M3,Canada-Quebec1,5.947259866150885,2020
000054703,Bécancour (Aréna),-5.0,PM2.5,UG/M3,Canada-Quebec1,4.776443552674452,2020
000054703,Bécancour (Aréna),-5.0,PM2.5,UG/M3,Meteorological Service of Canada,9.073493738903718,2020
000054901,Ditton,-5.0,OZONE,PPB,Canada-Quebec1,20.678910726175804,2020
000054901,Ditton,-5.0,OZONE,PPB,Meteorological Service of Canada,34.101164112227494,2020
000054901,La Patrie - Ditton,-5.0,OZONE,PPB,Canada-Quebec1,26.189261169591063,2020
000055001,Mont-Saint-Michel,-5.0,OZONE,PPB,Canada-Quebec1,16.589937462703116,2020
000055001,Mont-Saint-Michel,-5.0,OZONE,PPB,Meteorological Service of Canada,27.647058066290572,2020
000055501,Frelighsburg,-5.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,32.573798378547444,2020
000060104,Ottawa,-5.0,OZONE,PPB,Ontario Ministry of the Environment,25.234867466405863,2020
000060104,Ottawa,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.030810746880697,2020
000060204,Windsor Downtown,-5.0,OZONE,PPB,Ontario Ministry of the Environment,27.307597441842688,2020
000060204,Windsor Downtown,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,7.090565785773503,2020
000060304,Kingston,-5.0,OZONE,PPB,Ontario Ministry of the Environment,30.113275769280325,2020
000060304,Kingston,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,5.6511499153448765,2020
000060424,Toronto Downtown,-5.0,OZONE,PPB,Ontario Ministry of the Environment,23.884839781334204,2020
000060424,Toronto Downtown,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,7.638210901894799,2020
000060512,Hamilton Downtown,-5.0,OZONE,PPB,Ontario Ministry of the Environment,26.29162536961874,2020
000060512,Hamilton Downtown,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,8.078017777041318,2020
000060610,Sudbury,-5.0,OZONE,PPB,Ontario Ministry of the Environment,24.3070958280852,2020
000060610,Sudbury,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,5.171526630746297,2020
000060709,Sault Ste Marie,-5.0,OZONE,PPB,Ontario Ministry of the Environment,28.257900529195584,2020
000060709,Sault Ste Marie,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,4.571874201002883,2020
000060904,London,-5.0,OZONE,PPB,Ontario Ministry of the Environment,27.553961001269144,2020
000060904,London,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.609503195907384,2020
000061009,Sarnia,-5.0,OZONE,PPB,Ontario Ministry of the Environment,26.68875407762592,2020
000061009,Sarnia,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,7.065788828746807,2020
000061104,Peterborough,-5.0,OZONE,PPB,Ontario Ministry of the Environment,27.795530263934612,2020
000061104,Peterborough,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,5.7372328473960295,2020
000061201,Cornwall,-5.0,OZONE,PPB,Ontario Ministry of the Environment,26.380020515474282,2020
000061201,Cornwall,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.11546481583517,2020
000061302,St. Catharines,-5.0,OZONE,PPB,Ontario Ministry of the Environment,30.199588510160037,2020
000061302,St. Catharines,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.397999254352944,2020
000061402,Brantford,-5.0,OZONE,PPB,Ontario Ministry of the Environment,28.026598145301893,2020
000061402,Brantford,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.889358220622332,2020
000061502,Kitchener,-5.0,OZONE,PPB,Ontario Ministry of the Environment,27.717913596490366,2020
000061502,Kitchener,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.619442557749461,2020
000062001,North Bay,-5.0,OZONE,PPB,Ontario Ministry of the Environment,26.20366114951224,2020
000062001,North Bay,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,4.579455714303777,2020
000062501,Tiverton,-5.0,OZONE,PPB,Ontario Ministry of the Environment,30.60163797293428,2020
000062501,Tiverton,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,5.129155579897299,2020
000063301,Dorset,-5.0,OZONE,PPB,Ontario Ministry of the Environment,27.118916404867747,2020
000063301,Dorset,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,4.5757779694239105,2020
000063701,Grand Bend,-5.0,OZONE,PPB,Ontario Ministry of the Environment,30.95057288613363,2020
000063701,Grand Bend,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,4.882675238794673,2020
000064001,Experimental Lakes,-6.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,30.833794056863052,2020
000064101,Algoma,-5.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,30.487652956670264,2020
000064401,Egbert,-5.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,29.68648164416251,2020
000065001,Barrie,-5.0,OZONE,PPB,Ontario Ministry of the Environment,25.968895712009154,2020
000065001,Barrie,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.9854995797603605,2020
000065201,Parry Sound,-5.0,OZONE,PPB,Ontario Ministry of the Environment,29.95608090208042,2020
000065201,Parry Sound,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,4.337297084172187,2020
000065301,Port Stanley,-5.0,OZONE,PPB,Ontario Ministry of the Environment,30.879176190316517,2020
000065301,Port Stanley,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.507304775644506,2020
000065401,Belleville,-5.0,OZONE,PPB,Ontario Ministry of the Environment,29.71429609597781,2020
000065401,Belleville,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.456820231188218,2020
000065801,Chatham,-5.0,OZONE,PPB,Ontario Ministry of the Environment,29.080453770124425,2020
000065801,Chatham,-5.0,PM2.5,UG/M3,Ontario Ministry of the Environment,6.701099217660103,2020
000065901,Pickle Lake,-5.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,29.033822500871945,2020
000066101,Bonner Lake,-5.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,24.531446912734168,2020
000070119,Winnipeg_Ellens,-6.0,OZONE,PPB,Manitoba Conservation Air Quality Section,9.538218219980369,2020
000070119,Winnipeg_Ellens,-6.0,PM10,UG/M3,Manitoba Conservation Air Quality Section,2.709624477035804,2020
000070119,Winnipeg_Ellens,-6.0,PM2.5,UG/M3,Manitoba Conservation Air Quality Section,5.000854425155078,2020
000070203,Brandon,-6.0,OZONE,PPB,Manitoba Conservation Air Quality Section,20.820912213738293,2020
000070203,Brandon,-6.0,PM10,UG/M3,Manitoba Conservation Air Quality Section,2.5610432346305405,2020
000070203,Brandon,-6.0,PM2.5,UG/M3,Manitoba Conservation Air Quality Section,5.451272121220367,2020
000070301,Flin Flon,-6.0,PM10,UG/M3,Manitoba Conservation Air Quality Section,6.907409365543008,2020
000080110,Regina,-6.0,OZONE,PPB,Saskatchewan Environment,24.242703090039104,2020
000080110,Regina,-6.0,PM2.5,UG/M3,Saskatchewan Environment,7.14789875517299,2020
000080211,Saskatoon,-6.0,OZONE,PPB,Saskatchewan Environment,23.258709474751814,2020
000080211,Saskatoon,-6.0,PM2.5,UG/M3,Saskatchewan Environment,7.01543891921482,2020
000080402,PRINCE ALBERT,-6.0,OZONE,PPB,Saskatchewan Environment,23.538924956204895,2020
000080402,PRINCE ALBERT,-6.0,PM2.5,UG/M3,Saskatchewan Environment,7.09899545867635,2020
000081001,SPEEDY CREEK,-6.0,OZONE,PPB,Saskatchewan Environment,26.50881083926639,2020
000081001,SPEEDY CREEK,-6.0,PM2.5,UG/M3,Saskatchewan Environment,5.558977036314207,2020
000082001,Pinehouse Lake,-6.0,OZONE,PPB,Canadian Air and Precipitation Monitoring Network,27.69860305942794,2020
000090120,Edmonton South,-7.0,CO,PPM,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.27817005106782805,2020
000090120,Edmonton South,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),9.491259340153587,2020
000090120,Edmonton South,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),23.791341428872673,2020
000090120,Edmonton South,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),5.791211314714669,2020
000090120,Edmonton South,-7.0,SO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.14332803882719042,2020
000090121,Edmonton East,-7.0,CO,PPM,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.2640758844835545,2020
000090121,Edmonton East,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),11.812935113381569,2020
000090121,Edmonton East,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),22.679261026040653,2020
000090121,Edmonton East,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),6.497481071073362,2020
000090121,Edmonton East,-7.0,SO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.6558430763296644,2020
000090130,Edmonton Central,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),13.552700630172922,2020
000090130,Edmonton Central,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),21.34555290143835,2020
000090130,Edmonton Central,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),4.228790607511161,2020
000090133,Edmonton Woodcroft,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),6.892614325191475,2020
000090222,Calgary Northwest,-7.0,CO,PPM,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.35285644801472954,2020
000090222,Calgary Northwest,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),8.971434988007362,2020
000090222,Calgary Northwest,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),26.831496985236303,2020
000090222,Calgary Northwest,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),5.48639877681621,2020
000090228,Calgary Central2,-7.0,CO,PPM,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.4902916093864285,2020
000090228,Calgary Central2,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),14.809489404858306,2020
000090228,Calgary Central2,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),23.142339425820424,2020
000090228,Calgary Central2,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),6.7221727381750185,2020
000090302,RED DEER RIVERSIDE D,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),24.30980256325448,2020
000090302,RED DEER RIVERSIDE D,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),4.9307007055080385,2020
000090402,Medicine Hat - Cresc,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),29.09772272900412,2020
000090402,Medicine Hat - Cresc,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),5.101705024819528,2020
000090502,Lethbridge,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),31.37689685182181,2020
000090502,Lethbridge,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),5.219286404341389,2020
000090601,Fort Saskatchewan,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),22.600493658966958,2020
000090601,Fort Saskatchewan,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),6.4692380820863455,2020
000090606,Bruderheim,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),5.667489142416039,2020
000090606,Bruderheim,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),28.721289621071573,2020
000090606,Bruderheim,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),6.6478959290225115,2020
000090606,Bruderheim,-7.0,SO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.8145439062871049,2020
000090701,Athabasca Valley,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),20.663244501665364,2020
000090701,Athabasca Valley,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),5.348637750755671,2020
000090702,Patricia McInnes,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),25.34613933864405,2020
000090702,Patricia McInnes,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),5.023337123718627,2020
000090801,Fort McKay,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),17.901944490629784,2020
000090801,Fort McKay,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),6.700114810273749,2020
000091101,Elk Island,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),28.234195652916792,2020
000091101,Elk Island,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),4.682386020381653,2020
000091301,Tomahawk,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),28.574025633224252,2020
000091301,Tomahawk,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),4.063491540436407,2020
000091401,Violet Grove,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),28.950534150141422,2020
000091501,Beaverlodge,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),28.146046088540754,2020
000091501,Beaverlodge,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),3.8500450549670693,2020
000091601,Carrot Creek,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),26.323986074416087,2020
000091701,Steeper,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.8579344344649815,2020
000091701,Steeper,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),35.57191766017056,2020
000091701,Steeper,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),2.581342285268457,2020
000091701,Steeper,-7.0,SO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),0.0390193313108343,2020
000091801,Fort Chipewyan,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),27.636670387187056,2020
000091801,Fort Chipewyan,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),3.645699870551701,2020
000091901,Caroline,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),31.758159663996533,2020
000091901,Caroline,-7.0,PM2.5,UG/M3,Alberta Environmental Monitoring and Reporting Agency (AEMERA),4.33350693982424,2020
000092901,Edson,-7.0,NO2,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),6.450376951409955,2020
000092901,Edson,-7.0,OZONE,PPB,Alberta Environmental Monitoring and Reporting Agency (AEMERA),24.262763580575808,2020
