Unique_ID,dataset
S_060790005,train
S_060792004,0
S_060792006,train
S_060792007,0
S_060793001,test
S_060794002,train
S_060798002,train
S_060798005,train
S_060798006,train
S_060811001,train
S_060830011,train
S_060831008,train
S_060831013,test
S_060831014,train
S_060831021,val
S_060831025,train
S_060832004,train
S_060832011,val
S_060833001,train
S_060850002,train
S_060850005,test
S_060850006,0
S_060851001,train
S_060852006,val
S_060870007,train
S_060871005,0
S_060879990,0
S_060879991,0
S_060879993,0
S_060890004,train
S_060890007,train
S_060890009,val
S_060893003,train
S_060932001,train
S_060950004,train
S_060950005,test
S_060953002,train
S_060959999,0
S_060970004,train
S_060990005,train
S_060990006,train
S_061010003,train
S_061010004,train
S_061030004,train
S_061030007,train
S_061050002,0
S_061070006,train
S_061070009,train
S_061072002,train
S_061072010,train
S_061090005,train
S_061110007,train
S_061110009,train
S_061111004,test
S_061112002,train
S_061113001,val
S_061130004,train
S_061131003,train
S_080010008,0
S_080013001,train
S_080050002,train
S_080050006,val
S_080077004,train
S_080130003,0
S_080130014,train
S_080131001,0
S_080310002,train
S_080310013,0
S_080310023,0
S_080310026,train
S_080310027,0
S_080310028,0
S_080350004,train
S_080410013,train
S_080410015,0
S_080410016,train
S_080410017,0
S_080450007,0
S_080450012,train
S_080519991,train
S_080590005,train
S_080590006,train
S_080590011,train
S_080677001,train
S_080677003,train
S_080690007,train
S_080690009,0
S_080690011,train
S_080691004,train
S_080770017,0
S_080770020,train
S_080830006,train
S_080830101,train
S_080970008,0
S_081030006,train
S_081230006,0
S_081230009,val
S_090010010,0
S_090010017,train
S_090011123,train
S_090013007,train
S_090019003,train
S_090030025,0
S_090031003,train
S_090050005,train
S_090079007,train
S_090090027,train
S_090092123,0
S_090099002,val
S_090110124,train
S_090131001,train
S_090159991,train
S_100010002,test
S_100031007,train
S_100031008,0
S_100031010,train
S_100031013,train
S_100032004,train
S_100051002,train
S_100051003,train
S_104MMR010001,train
S_110010041,test
S_110010043,0
S_110010044,train
S_110010050,val
S_110010051,0
S_113490351007,train
S_113490352005,train
S_113490354002,train
S_120030002,train
S_120050006,test
S_120090007,train
S_120094001,train
S_120110033,train
S_120110034,train
S_120110035,0
S_120112003,train
S_120118002,val
S_120170006,0
S_120210004,train
S_120230002,train
S_120310032,0
S_120310077,train
S_120310081,0
S_120310098,0
S_120310100,train
S_120310106,train
S_120310108,0
S_120330004,train
S_120330018,train
S_120350004,train
S_120470015,0
S_120550003,train
S_120570081,val
S_120570083,0
S_120570109,0
S_120570112,0
S_120570113,0
S_120571035,train
S_120571065,val
S_120573002,train
S_120590004,train
S_120619991,train
S_120690002,train
S_120710005,0
S_120712002,train
S_120713002,train
S_120730012,train
S_120779991,train
S_120810028,0
S_120813002,val
S_120814012,train
S_120814013,train
S_120830003,train
S_120830004,train
S_120850007,train
S_120860027,train
S_120860029,train
S_120860034,0
S_120860035,0
S_120861016,0
S_120864002,0
S_120866001,0
S_120890005,0
S_120890010,0
S_120910002,train
S_120952002,test
S_120972002,train
S_120990008,0
S_120990021,test
S_121010005,test
S_121012001,train
S_121030004,train
S_121030018,train
S_121030027,0
S_121035002,train
S_121056005,train
S_121056006,train
S_121071008,0
S_121110013,val
S_121130015,train
S_121150013,0
S_121151005,train
S_121151006,train
S_121152002,val
S_121171002,test
S_121275002,train
S_121290001,train
S_124000060445,val
S_124000082101,train
S_124000094500,train
S_130210012,train
S_130510021,train
S_130511002,0
S_130550001,train
S_130590002,train
S_130670003,train
S_130730001,train
S_130850001,train
S_130890002,train
S_130890003,0
S_130950007,0
S_130970004,val
S_131150003,0
S_131150006,0
S_131210055,train
S_131210056,0
S_131270006,val
S_131350002,train
S_131390003,0
S_131510002,val
S_131530001,0
S_131850003,0
S_132130003,train
S_132150008,train
S_132319991,train
S_132450091,train
S_132470001,train
S_132611001,train
S_132950002,0
S_148CHD010001,0
S_150010005,0
S_150011006,0
S_150011012,0
S_150012016,0
S_150012020,0
S_150012023,0
S_150030010,0
S_150031001,0
S_150031004,train
S_150032004,0
S_150090006,0
S_150090025,0
S_160010009,0
S_160010010,train
S_160010014,0
S_160010017,train
S_160010020,0
S_160050004,0
S_160050015,train
S_160050020,0
S_160090010,0
S_160090011,0
S_160130004,0
S_160150001,0
S_160150002,0
S_160170003,0
S_160190011,0
S_160210002,0
S_160211007,0
S_160211008,0
S_160230101,train
S_160270002,0
S_160290031,0
S_160291009,0
S_160490002,0
S_160490003,0
S_160491012,0
S_160499991,train
S_160530003,0
S_160570005,0
S_160571000,0
S_160571012,0
S_160590004,0
S_160650002,0
S_160671011,0
S_160690012,0
S_160790017,0
S_160830007,0
S_160850002,0
S_160871004,0
S_170010007,train
S_170190007,train
S_170191001,0
S_170199991,train
S_170230001,train
S_170310001,val
S_170310032,train
S_170310057,0
S_170310076,train
S_170311003,train
S_170311601,val
S_170313103,train
S_170314002,test
S_170314007,train
S_170314201,train
S_170316005,0
S_170317002,train
S_170434002,0
S_170436001,train
S_170491001,test
S_170650002,train
S_170830117,train
S_170859991,train
S_170890005,train
S_170971007,train
S_171110001,train
S_171132003,test
S_171150013,train
S_171170002,train
S_171191007,0
S_171191009,val
S_171193007,test
S_171199991,train
S_171430024,train
S_171430037,0
S_171431001,train
S_171570001,train
S_171613002,train
S_171630010,train
S_171670012,0
S_171670014,train
S_171971002,0
S_171971011,train
S_172012001,train
S_180030002,train
S_180030004,train
S_180050007,train
S_180050008,0
S_180110001,train
S_180130001,train
S_180150002,train
S_180190008,train
S_180350010,train
S_180390007,train
S_180390008,0
S_180431004,train
S_180550001,train
S_180570006,train
S_180570007,0
S_180630004,train
S_180670004,val
S_180690002,train
S_180710001,train
S_180839991,test
S_180890015,0
S_180890022,train
S_180890036,0
S_180892008,train
S_180910005,train
S_180910010,train
S_180950010,train
S_180950011,0
S_180970050,train
S_180970057,train
S_180970072,0
S_180970073,0
S_180970078,train
S_180970081,0
S_180970087,train
S_181050003,0
S_181090005,train
S_181230009,train
S_181270023,0
S_181270024,val
S_181270026,train
S_181290003,val
S_181410010,train
S_181410015,train
S_181410016,train
S_181450001,test
S_181570008,0
S_181630013,test
S_181630021,train
S_181630022,0
S_181670018,train
S_181670024,train
S_181699991,test
S_181730008,train
S_181730011,train
S_181830003,0
S_188CRI010001,0
S_190130009,0
S_190170011,train
S_190450019,0
S_190450021,train
S_190850007,train
S_191032001,0
S_191130033,train
S_191130040,train
S_191130041,0
S_191370002,train
S_191390016,0
S_191390019,0
S_191390020,0
S_191471002,train
S_191530030,train
S_191531579,train
S_191630014,train
S_191630015,train
S_191630017,0
S_191770006,val
S_200570002,0
S_200910010,train
S_201030003,test
S_201330003,train
S_201730010,train
S_201730018,train
S_201770013,test
S_201810003,0
S_201910002,train
S_201950001,val
S_202090021,train
S_210130002,train
S_210150003,train
S_210190017,train
S_210290006,train
S_210373002,test
S_210430500,train
S_210470006,train
S_210590005,train
S_210610501,train
S_210670012,train
S_210890007,train
S_210910012,train
S_210930006,train
S_211110051,train
S_211110067,train
S_211110075,0
S_211110080,val
S_211111041,0
S_211130001,train
S_211390003,train
S_211451024,train
S_211759991,train
S_211850004,train
S_211930003,train
S_211950002,train
S_211990003,train
S_212130004,train
S_212219991,train
S_212270009,train
S_212299991,train
S_220050004,train
S_220150008,train
S_220170001,train
S_220190002,train
S_220190008,0
S_220190009,train
S_220330003,train
S_220330009,test
S_220330013,train
S_220470009,train
S_220470012,train
S_220511001,train
S_220550007,train
S_220570004,test
S_220630002,train
S_220710012,0
S_220730004,train
S_220770001,train
S_220870004,train
S_220870007,0
S_220930002,train
S_220950002,train
S_220990001,train
S_221030002,train
S_221210001,train
S_230010011,0
S_230010014,train
S_230030014,0
S_230031011,0
S_230031100,train
S_230039991,train
S_230050029,train
S_230052003,train
S_230090102,test
S_230090103,train
S_230112001,train
S_230112005,0
S_230130004,test
S_230172011,0
S_230173002,train
S_230190017,0
S_230194008,train
S_230290019,train
S_230290032,train
S_230310038,train
S_230310040,train
S_230312002,train
S_240018881,0
S_240018882,0
S_240031003,train
S_240032002,0
S_240050009,0
S_240051007,train
S_240053001,train
S_240090011,train
S_240130001,train
S_240150003,train
S_240170010,train
S_240190004,train
S_240199991,train
S_240210037,test
S_240230002,train
S_240251001,train
S_240259001,train
S_240270006,0
S_240290002,train
S_240313001,train
S_240330030,train
S_240338003,train
S_240339991,train
S_240430009,train
S_245100040,0
S_245100054,train
S_250010002,train
S_250036001,0
S_250051004,train
S_250051006,train
S_250070001,val
S_250092006,train
S_250095005,train
S_250112005,train
S_250130008,train
S_250130018,0
S_250154002,train
S_250170009,train
S_250213003,train
S_250230005,test
S_250250002,0
S_250250042,train
S_250250044,0
S_250270015,train
S_250270023,0
S_250270024,train
S_260050003,train
S_260170014,0
S_260190003,train
S_260210014,train
S_260270003,train
S_260370002,train
S_260490021,train
S_260492001,train
S_260630007,train
S_260650012,train
S_260650018,train
S_260770008,train
S_260810020,train
S_260810022,test
S_260910007,train
S_260990009,train
S_260991003,train
S_261010922,test
S_261050007,train
S_261130001,train
S_261150006,0
S_261210039,train
S_261250001,train
S_261390005,train
S_261390011,0
S_261470005,train
S_261530001,train
S_261579991,train
S_261610008,train
S_261619991,train
S_261630001,train
S_261630015,0
S_261630019,train
S_261630033,0
S_261630039,0
S_261630093,0
S_261630097,0
S_261630098,0
S_261630099,0
S_261630100,0
S_261659991,train
S_270031001,train
S_270031002,train
S_270052013,train
S_270072304,0
S_270177417,train
S_270213410,0
S_270317810,0
S_270353204,train
S_270370470,0
S_270370480,0
S_270495302,test
S_270530909,0
S_270530910,0
S_270530954,0
S_270530962,test
S_270530963,0
S_270531909,0
S_270750005,train
S_270834210,val
S_270953051,train
S_271095008,train
S_271230868,0
S_271230871,0
S_271370034,train
S_271377001,0
S_271377550,train
S_271377554,0
S_271390505,train
S_271453052,train
S_271636016,train
S_271713201,train
S_280110002,test
S_280330002,train
S_280350004,0
S_280450003,test
S_280470008,train
S_280490020,train
S_280490021,train
S_280590006,val
S_280750003,test
S_280810005,train
S_281619991,train
S_288GH1010001,0
S_290030001,train
S_290190011,train
S_290210005,0
S_290270002,train
S_290370003,test
S_290390001,train
S_290470003,train
S_290470005,val
S_290470006,train
S_290490001,train
S_290770036,train
S_290770042,val
S_290930034,0
S_290950018,0
S_290950034,0
S_290950042,0
S_290970003,0
S_290970004,train
S_290990019,train
S_290990027,0
S_291130004,train
S_291370001,val
S_291570001,train
S_291831002,train
S_291831004,val
S_291860005,train
S_291890005,train
S_291890014,train
S_291890016,0
S_291893001,0
S_295100007,0
S_295100085,test
S_295100093,0
S_295100094,0
S_300130001,0
S_300270006,train
S_300290009,0
S_300290047,0
S_300290049,0
S_300298001,train
S_300310017,0
S_300310019,0
S_300470028,0
S_300490004,train
S_300490026,0
S_300530018,0
S_300630024,train
S_300630037,0
S_300630038,0
S_300710010,train
S_300750001,test
S_300810007,0
S_300830002,train
S_300870001,train
S_300890007,0
S_300930005,0
S_301110066,0
S_301110087,0
S_310250002,0
S_310550019,train
S_310550028,train
S_310550053,train
S_310550056,0
S_311079991,train
S_311090016,train
S_311090022,0
S_311090025,0
S_311530007,0
S_320010002,train
S_320030022,train
S_320030023,train
S_320030024,val
S_320030043,train
S_320030044,train
S_320030071,train
S_320030073,train
S_320030075,train
S_320030298,train
S_320030540,train
S_320030561,0
S_320030601,train
S_320031019,train
S_320031501,0
S_320031502,0
S_320037772,train
S_320038000,0
S_320050007,0
S_320070005,0
S_320190006,train
S_320192012,0
S_320230011,0
S_320230013,0
S_320230014,0
S_320230015,0
S_320310016,train
S_320310020,train
S_320310025,train
S_320311005,train
S_320311007,val
S_320311026,0
S_320312002,train
S_320312009,train
S_320330101,train
S_320GT1010001,0
S_324GN1010001,0
S_325100020,test
S_330012004,train
S_330050007,train
S_330074002,train
S_330090010,train
S_330099991,train
S_330111011,train
S_330115001,train
S_330131006,0
S_330131007,train
S_330150014,train
S_330150016,train
S_330150018,val
S_340010006,train
S_340030006,train
S_340030010,0
S_340070002,test
S_340071001,train
S_340110007,val
S_340130003,train
S_340150002,train
S_340170006,train
S_340171002,0
S_340171003,0
S_340190001,test
S_340210005,val
S_340219991,train
S_340230011,train
S_340250005,val
S_340273001,train
S_340290006,train
S_340315001,train
S_340390003,0
S_340390004,0
S_340392003,0
S_340410007,train
S_350010023,train
S_350010026,0
S_350010029,train
S_350010032,0
S_350011012,train
S_350011013,0
S_350130008,val
S_350130016,0
S_350130019,0
S_350130020,train
S_350130021,train
S_350130022,train
S_350130023,train
S_350130024,0
S_350130025,0
S_350151005,train
S_350250008,val
S_350290003,0
S_350390026,test
S_350431001,train
S_350450009,train
S_350450018,train
S_350450020,val
S_350451005,test
S_350490021,train
S_350550005,0
S_350610008,train
S_360010005,0
S_360010012,train
S_360050110,train
S_360050112,0
S_360050133,train
S_360130006,train
S_360270007,train
S_360290002,train
S_360290005,0
S_360290023,0
S_360291014,0
S_360310003,test
S_360319991,train
S_360410005,train
S_360430005,train
S_360450002,train
S_360470052,0
S_360470118,0
S_360551007,train
S_360590005,0
S_360610115,0
S_360610134,0
S_360610135,train
S_360631006,train
S_360652001,0
S_360671015,train
S_360710002,0
S_360715001,train
S_360750003,train
S_360790005,train
S_360810120,0
S_360810124,train
S_360810125,0
S_360850111,val
S_360870005,train
S_360910004,train
S_361010003,train
S_361030002,train
S_361030004,train
S_361030009,train
S_361099991,train
S_361173001,train
S_361192004,train
S_368IRQ010001,0
S_370030005,train
S_370110002,train
S_370119991,train
S_370130151,0
S_370190005,0
S_370210030,train
S_370210034,0
S_370210037,0
S_370270003,test
S_370319991,train
S_370330001,val
S_370350004,0
S_370510008,train
S_370510009,0
S_370510010,train
S_370570002,0
S_370630015,train
S_370630099,train
S_370650099,train
S_370670022,train
S_370670030,train
S_370671008,train
S_370750001,test
S_370770001,train
S_370810013,train
S_370870008,train
S_370870013,0
S_370870035,train
S_370870036,test
S_371010002,test
S_371070004,train
S_371090004,train
S_371139991,train
S_371170001,train
S_371190041,train
S_371190045,0
S_371190046,train
S_371210004,0
S_371230001,0
S_371239991,train
S_371290002,test
S_371310003,0
S_371450003,train
S_371450004,0
S_371470006,train
S_371570099,train
S_371579997,0
S_371579998,0
S_371590021,train
S_371730002,val
S_371790003,val
S_371830014,train
S_371830021,0
S_371990004,train
S_380070002,train
S_380130004,train
S_380150003,train
S_380171004,train
S_380530002,train
S_380570004,train
S_380650002,train
S_381010003,train
S_381050003,val
S_384CI1010001,0
S_390010001,0
S_390030009,train
S_390071001,train
S_390130006,0
S_390170018,val
S_390170019,0
S_390170020,0
S_390170021,0
S_390170023,train
S_390179991,train
S_390230001,train
S_390230003,train
S_390230005,0
S_390250022,train
S_390271002,train
S_390290019,0
S_390350034,train
S_390350038,0
S_390350045,0
S_390350051,0
S_390350060,train
S_390350064,train
S_390350065,0
S_390350073,0
S_390355002,train
S_390410002,train
S_390479991,train
S_390490029,train
S_390490034,0
S_390490038,0
S_390490081,train
S_390530006,0
S_390550004,train
S_390570006,train
S_390610006,train
S_390610010,train
S_390610040,train
S_390610048,0
S_390810017,train
S_390830003,train
S_390850003,train
S_390850007,train
S_390870011,train
S_390870012,train
S_390890005,train
S_390890008,train
S_390930018,val
S_390933002,0
S_390950008,0
S_390950024,val
S_390950027,train
S_390950035,train
S_390950081,0
S_390970007,train
S_390990013,train
S_390990014,0
S_391030004,train
S_391090005,train
S_391130037,train
S_391130038,0
S_391150004,0
S_391219991,train
S_391331001,train
S_391351001,train
S_391510016,train
S_391510020,0
S_391510022,train
S_391514005,train
S_391530017,0
S_391530020,train
S_391530025,0
S_391550011,train
S_391550013,val
S_391550014,0
S_391650007,train
S_391670004,val
S_391730003,train
S_398KZ1010001,0
S_400019009,train
S_400170101,train
S_400190297,train
S_400270049,val
S_400310651,val
S_400370144,train
S_400430860,train
S_400470555,0
S_400690324,train
S_400710604,0
S_400719010,train
S_400970188,0
S_400979014,train
S_400JOR010001,0
S_401010170,0
S_401050207,train
S_401090096,val
S_401090097,0
S_401091037,train
S_401130226,train
S_401210415,train
S_401359021,train
S_401430174,train
S_401430175,0
S_401430178,train
S_401430179,0
S_401430235,0
S_401431127,train
S_401470217,train
S_410010004,0
S_410030013,0
S_410050004,train
S_410050102,0
S_410090004,train
S_410111036,0
S_410130100,0
S_410170004,0
S_410170120,0
S_410190002,0
S_410230002,0
S_410250003,0
S_410290019,0
S_410290201,val
S_410290203,0
S_410291002,0
S_410292129,0
S_410310007,0
S_410330011,0
S_410330036,0
S_410330114,0
S_410350004,0
S_410370001,0
S_410390059,0
S_410390060,train
S_410391007,train
S_410391009,0
S_410392013,0
S_410399004,0
S_410430009,0
S_410430104,0
S_410432002,0
S_410432003,0
S_410470004,train
S_410470007,0
S_410470041,train
S_410470123,0
S_410510080,train
S_410590121,0
S_410591003,train
S_410610120,0
S_410610123,0
S_410630001,0
S_410650007,0
S_410670004,0
S_410670005,train
S_410670111,0
S_417BI1010001,0
S_418LAO010001,0
S_420010001,val
S_420019991,val
S_420030008,train
S_420030064,0
S_420030067,train
S_420031008,train
S_420031376,0
S_420050001,test
S_420070002,val
S_420070005,train
S_420070014,train
S_420110006,val
S_420110011,train
S_420130801,train
S_420150011,train
S_420170012,train
S_420210011,train
S_420270100,train
S_420279991,train
S_420290100,train
S_420334000,train
S_420410101,0
S_420430401,train
S_420431100,train
S_420450002,train
S_420450109,0
S_420479991,train
S_420490003,train
S_420550001,train
S_420590002,test
S_420630004,train
S_420690101,train
S_420692006,train
S_420710007,train
S_420710012,test
S_420730015,train
S_420750100,train
S_420770004,train
S_420791101,train
S_420810100,train
S_420850100,train
S_420859991,train
S_420890002,test
S_420910013,train
S_420950025,train
S_421010004,train
S_421010024,val
S_421010048,test
S_421010055,0
S_421010057,0
S_421010075,0
S_421010076,0
S_421119991,train
S_421174000,train
S_421250005,train
S_421255001,train
S_421255200,train
S_421290008,train
S_421330008,test
S_421330011,val
S_440030002,train
S_440070022,0
S_440070030,0
S_440071010,train
S_440090007,train
S_450030003,train
S_450070005,train
S_450190003,0
S_450190046,train
S_450190049,0
S_450250001,train
S_450310003,train
S_450370001,train
S_450410003,0
S_450450015,0
S_450450016,train
S_450510008,train
S_450630008,0
S_450630010,0
S_450730001,0
S_450790007,train
S_450790021,train
S_450791001,train
S_450830009,train
S_450830011,0
S_450910008,test
S_450MAD010001,0
S_460110003,train
S_460290002,train
S_460330132,train
S_460650003,0
S_460710001,train
S_460930001,train
S_460990008,train
S_461030020,0
S_461270001,train
S_466ML1010001,0
S_470010101,train
S_470090011,0
S_470090101,val
S_470090102,train
S_470259991,train
S_470370011,train
S_470370023,0
S_470370026,train
S_470419991,train
S_470450004,0
S_470651011,test
S_470654002,0
S_470654003,train
S_470890002,train
S_470930021,test
S_470931013,0
S_470931020,train
S_471050109,train
S_471071002,0
S_471192007,0
S_471410005,0
S_471450004,0
S_471550101,train
S_471550102,test
S_471570021,train
S_471570075,train
S_471571004,train
S_471631007,0
S_471632002,val
S_471632003,train
S_471636001,0
S_471636002,0
S_471650007,test
S_471870106,train
S_471890103,train
S_480271045,train
S_480271047,test
S_480290032,train
S_480290052,train
S_480290059,train
S_480290676,0
S_480290677,0
S_480291069,0
S_480371031,0
S_480391004,train
S_480391016,train
S_480430101,train
S_480551604,train
S_480610006,0
S_480611023,val
S_480612004,0
S_480850005,train
S_481130069,train
S_481130075,train
S_481130087,train
S_481131067,0
S_481210034,train
S_481211032,train
S_481350003,0
S_481351014,0
S_481390016,train
S_481391044,train
S_481410029,train
S_481410037,test
S_481410044,train
S_481410054,0
S_481410055,train
S_481410057,train
S_481410058,train
S_481411021,0
S_481670005,0
S_481671034,test
S_481830001,train
S_482010024,train
S_482010026,train
S_482010029,train
S_482010046,train
S_482010047,train
S_482010051,train
S_482010055,train
S_482010058,0
S_482010062,train
S_482010066,val
S_482010416,train
S_482011015,train
S_482011017,train
S_482011034,train
S_482011035,train
S_482011039,train
S_482011050,val
S_482011052,0
S_482011066,0
S_482030002,val
S_482090614,train
S_482091675,train
S_482150043,train
S_482210001,train
S_482311006,train
S_482450009,train
S_482450011,test
S_482450018,0
S_482450021,0
S_482450022,train
S_482450101,train
S_482450102,train
S_482450628,train
S_482451035,train
S_482510003,train
S_482570005,train
S_482730314,0
S_483031028,0
S_483091037,train
S_483230004,0
S_483390078,train
S_483491051,train
S_483550025,train
S_483550026,train
S_483550032,0
S_483550034,0
S_483611001,train
S_483611100,train
S_483670081,train
S_483739991,train
S_483750320,0
S_483819991,train
S_483970001,train
S_484230007,train
S_484390075,train
S_484391002,train
S_484391053,0
S_484392003,train
S_484393009,train
S_484393011,train
S_484530014,train
S_484530020,train
S_484530021,0
S_484531068,0
S_484690003,train
S_484790016,train
S_484790017,0
S_484790313,0
S_484800090073,val
S_484800150584,train
S_484910690,val
S_484916602,train
S_490050007,train
S_490071003,train
S_490110004,test
S_490130002,train
